#X,Nf1,Nf2,fN3,Nf4,Nf5,Nf6,Nf7,Nf8,Nf9,Nf10,Nf11,Nf12,Nf13,Nf14,Nf15,Nf16,Nf17,Nf18,Nf19,Nf20,Nf21,Nf22,Nf29,Nf30,A-U,A-H,A-G,G-U,G-H,N-E,S-E,P-E,F-NG-F,S-NG-F,M-NG-F,N,G,S,M,L,S,fM,Y,
ALG056+1.p,116,532,648,2888,14206,110,14,116,52,648,360,14,116,99,99,0.0,1.0,2,2,2,4,1,2,2,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0
ALG074+1.p,2,12,14,30,118,2,3,2,11,8,3,3,2,3,3,0.0,1.0,2,1,6,3,1,2,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
ALG097+1.p,230,106,336,900,5150,110,10,230,30,336,336,10,230,86,86,0.0,1.0,2,2,2,3,1,2,2,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0
ALG378-1.p,22,543,565,1524,8382,2,58,22,488,257,6,52,1,52,60,0.103448,0.866667,3,2,24,5,1,3,2,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0
ALG421-1.p,34,809,843,2160,12245,17,115,34,688,475,85,80,5,80,120,0.304348,0.666667,3,2,48,7,1,3,2,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0
ALG437-1.p,7,674,681,1476,8915,2,145,7,621,467,41,121,3,121,149,0.165517,0.812081,5,2,113,8,1,3,2,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0
COL099-2.p,14,139,153,328,1586,11,8,14,115,43,22,3,1,3,14,0.625,0.214286,4,1,118,3,1,3,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0
COL106-2.p,2,10,12,27,254,1,3,2,8,6,3,1,0,1,3,0.666667,0.333333,4,2,22,4,1,3,2,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0
GEO012-3.p,10,92,102,270,1314,9,21,10,71,38,11,2,9,2,22,0.904762,0.090909,6,5,25,3,1,3,3,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0
GEO177+2.p,5,14,19,44,148,5,2,5,7,0,0,2,2,3,3,0.0,1.0,2,2,4,2,1,2,2,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
GEO203+3.p,17,33,50,127,403,8,3,17,8,0,0,3,1,3,10,0.0,0.3,2,2,8,3,1,2,2,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0
GEO205+3.p,17,32,49,127,397,7,2,17,7,0,0,2,1,2,9,0.0,0.222222,2,2,8,2,1,2,2,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0
